"","issn_merge","year","rank","sourceid","title","type","issn","sjr","sjr_best_quartile","h_index","total_docs_year","total_docs_3years","total_refs","total_cites_3years","citable_docs_3years","cites_doc_2years","ref_doc","country","region","publisher","coverage","categories","areas","issn_short","Journal","Issn","Eissn","Description","Publisher","Societies","Author.guideline.url","Data.citation.score","Data.citation.justification","Data.transparency.score","Data.transparency.justification","Analysis.code.transparency.score","Analysis.code.transparency.justification","Materials.transparency.score","Materials.transparency.justification","Design...analysis.reporting.guidelines.score","Design...analysis.reporting.guidelines.justification","Study.preregistration.score","Study.preregistration.justification","Analysis.plan.preregistration.score","Analysis.plan.preregistration.justification","Replication.score","Replication.justification","Registered.reports...publication.bias.score","Registered.reports...publication.bias.justification","Open.science.badges.score","Open.science.badges.justification","top_factor"
"5787","00338419","2023",457,17864,"Radiology","journal","00338419, 15271315",3.692,"Q1",336,730,1624,15092,13657,954,6.14,20.67,"United States","Northern America","Radiological Society of North America Inc.","1945-2023","Radiology, Nuclear Medicine and Imaging (Q1)","Medicine","00338419","Radiology","0033-8419","1527-1315","""Published regularly since 1923 by the Radiological Society of North America (RSNA), Radiology has long been recognized as the authoritative reference for the most current, clinically relevant and highest quality research in the field of radiology. Each month the journal publishes approximately 240 pages of peer-reviewed original research, authoritative reviews, well-balanced commentary on significant articles, and expert opinion on new techniques and technologies.""","","","https://pubs.rsna.org/page/radiology/author-instructions",0,"No mention",0,"Data sharing policy only applies to registered research. ""Registered Studies Authors should comply with the clinical trial registration statement from the ICMJE. Briefly, RSNA journals require registration of clinical trials in a public trials registry at or before the time of first patient enrollment as a condition of consideration for publication. The trial number must be clearly indicated in the abstract and methods section of the manuscript.  The submitted manuscript must contain a data sharing statement on the full title page that indicates whether individual deidentified participant data will be shared...""",0,"No mention",0,"No mention",0,"Journal does not encourage guidelines for all study types.",0,"""Authors should comply with the clinical trial registration statement from the ICMJE.""",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0
"5811","00340553","2023",1154,16055,"Reading Research Quarterly","journal","00340553",2.198,"Q1",107,42,190,3459,1159,174,4.85,82.36,"United States","Northern America","Wiley-Blackwell","1996-2023","Developmental and Educational Psychology (Q1); Education (Q1)","Psychology; Social Sciences","00340553","Reading Research Quarterly","0034-0553","1936-2722","""Reading Research Quarterly is the leading global journal offering multidisciplinary scholarship on literacy among learners of all ages, including the latest research studies (methods, results, effects, findings, and implications).""","Wiley","","https://ila.onlinelibrary.wiley.com/hub/journal/19362722/author-guidelines.html",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0
"5831","00340561","2023",11740,16067,"Reading Teacher","journal","00340561",0.455,"Q1",60,95,264,3409,393,228,1.33,35.88,"United States","Northern America","Wiley-Blackwell","1995-2023","Linguistics and Language (Q1); Pharmacology (Q3); Pharmacology (medical) (Q3)","Medicine; Pharmacology, Toxicology and Pharmaceutics; Social Sciences","00340561","Reading Teacher","0034-0561","1936-2714","""The Reading Teacher (RT) provides the latest peer-reviewed, research-based best practices to literacy educators working with children up to age 12. RTs classroom-ready articles cover topics from curriculum, instruction, and assessment to strategies for teaching diverse populations of literacy learners.""","Wiley","","https://ila.onlinelibrary.wiley.com/hub/journal/19362714/author-guidelines.html",2,"""Data must be cited in the same way as article, book, and web citations and authors are required to include data citations as part of their reference list."" Shows examples.",0,"""This journal encourages data sharing.""",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",2
"5865","00344257","2023",371,12503,"Remote Sensing of Environment","journal","00344257",4.31,"Q1",350,431,1433,32671,19566,1423,11.99,75.8,"United States","Northern America","Elsevier Inc.","1969-2023","Computers in Earth Sciences (Q1); Geology (Q1); Soil Science (Q1)","Agricultural and Biological Sciences; Earth and Planetary Sciences","00344257","Remote Sensing of Environment","0034-4257","1879-0704","""Remote Sensing of Environment (RSE) serves the Earth observation community with the publication of results on the theory, science, applications, and technology of remote sensing studies. Thoroughly interdisciplinary, RSE publishes on terrestrial, oceanic and atmospheric sensing. The emphasis of the journal is on biophysical and quantitative approaches to remote sensing at local to global scales.""","Elsevier","","https://www.elsevier.com/journals/remote-sensing-of-environment/0034-4257/guide-for-authors",1,"""his journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. "" provides rules and examples.",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",1
"5877","0034527X","2023",7897,22614,"Research in the Teaching of English","journal","0034527X, 19432348",0.67,"Q1",47,25,86,1032,127,71,1.39,41.28,"United States","Northern America","National Council of Teachers of English","1996-2001, 2004-2023","Linguistics and Language (Q1); Education (Q2)","Social Sciences","0034527X","Research in the Teaching of English","0034-527X","1943-2348","""Research in the Teaching of English (RTE) is a broad-based, multidisciplinary journal composed of original research articles and short scholarly essays on a wide range of topics significant to those concerned with the teaching and learning of languages and literacies around the world, both in and beyond schools and universities.""","","","https://ncte.org/resources/journals/research-in-the-teaching-of-english/write-for-us/",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0
"5904","00346527","2023",43,24202,"Review of Economic Studies","journal","00346527, 1467937X",13.609,"Q1",165,93,250,5332,1699,250,6.02,57.33,"United Kingdom","Western Europe","Oxford University Press","1933-1974, 1976-2023","Economics and Econometrics (Q1)","Economics, Econometrics and Finance","00346527","Review of Economic Studies","0034-6527","1467-937X","""The Review was founded in 1933 by a group of young British and American Economists. It is published by The Review of Economic Studies Ltd, whose objective is to encourage research in theoretical and applied economics, especially by young economists, and to publish the results in the Journal. The Review of Economic Studies is essential reading for economists. It is one of the core economics journals, consistently ranking among the top five titles.""","Oxford University Press","","https://www.restud.com/submissions/",0,"No mention.",2,"""Authors of accepted papers that contain empirical work, numerical simulations, or experimental work must in principle make available to the journal any data, programs, and details for the computations necessary for replication. More: https://restud.github.io/data-editor/before/#data-availability-policy Please make sure that you have read our policy on data availability. Failure to comply with its terms could delay or even prevent publication of your paper.""",2,"""Authors of accepted papers that contain empirical work, numerical simulations, or experimental work must in principle make available to the journal any data, programs, and details for the computations necessary for replication. More: https://restud.github.io/data-editor/before/#data-availability-policy""",2,"""Authors of accepted papers that contain empirical work, numerical simulations, or experimental work must in principle make available to the journal any data, programs, and details for the computations necessary for replication. More: https://restud.github.io/data-editor/before/#data-availability-policy""",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",6
"5925","00346535","2023",138,24204,"Review of Economics and Statistics","journal","00346535, 15309142",7.553,"Q1",200,87,220,3808,1366,220,5.4,43.77,"United States","Northern America","MIT Press Journals","1978-2023","Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)","Economics, Econometrics and Finance; Social Sciences","00346535","The Review of Economics and Statistics","0034-6535","1530-9142","""The Review of Economics and Statistics is a 100-year-old general journal of applied economics. Edited at the Harvard Kennedy School, the Review aims to publish both empirical and theoretical contributions that will be of interest to a wide economics readership, building on its long and distinguished history that includes work from such figures as Kenneth Arrow, Milton Friedman, Robert Merton, Paul Samuelson, Robert Solow, and James Tobin.""","MIT Press Direct","","https://direct.mit.edu/rest/pages/submission-guidelines",2,"""For that reason the MIT Press officially endorses the Joint Declaration of DataCitation Principles and is committed to creating citation practices that embody the principles contained within the JDDCP. It is therefore the responsibility of all authors submitting research for publication in an MIT Press journal to ensure that all data contributing to the findings of that research are properly cited in the article itself and that the data is made publicly available when possible.""",2,"""The Review of Economics and Statistics is implementing a strict data and computer code availability policy for empirical papers. Authors of papers accepted for publication will be required to: post their code and programs; post and document their data""",2,"""The Review of Economics and Statistics is implementing a strict data and computer code availability policy for empirical papers. Authors of papers accepted for publication will be required to: post their code and programs; post and document their data""",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",6
"5926","00346535","2023",138,24204,"Review of Economics and Statistics","journal","00346535, 15309142",7.553,"Q1",200,87,220,3808,1366,220,5.4,43.77,"United States","Northern America","MIT Press Journals","1978-2023","Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)","Economics, Econometrics and Finance; Social Sciences","00346535","Review of Economics and Statistics","0034-6535","1530-9142","""The Review of Economics and Statistics is a 100-year-old general journal of applied economics. Edited at the Harvard Kennedy School, the Review aims to publish both empirical and theoretical contributions that will be of interest to a wide economics readership, building on its long and distinguished history that includes work from such figures as Kenneth Arrow, Milton Friedman, Robert Merton, Paul Samuelson, Robert Solow, and James Tobin. Looking to the future, we aim to publish similarly impactful work from authors who represent the current field of economics in all its diversity. ""","","","https://www.mitpressjournals.org/journals/rest/sub?mobileUi=0&#:~:text=There%20is%20a%20nonrefundable%20%24100,individual%20subscription%20to%20The%20Review.",0,"No mention.",2,"""Authors of papers accepted for publication will be required to  post their code and programs; post and document their data (or document their data and include instructions for how other researchers can obtain the data when the data have been obtained under an arrangement that precludes the posting of the data); post detailed readme files on-line before publication.""",2,"""Authors of papers accepted for publication will be required to  post their code and programs; post and document their data (or document their data and include instructions for how other researchers can obtain the data when the data have been obtained under an arrangement that precludes the posting of the data); post detailed readme files on-line before publication.""",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",4
"5975","00346543","2023",222,16512,"Review of Educational Research","journal","00346543, 19351046",5.772,"Q1",186,43,74,5366,1338,73,12.59,124.79,"United States","Northern America","SAGE Publications Inc.","1931-2023","Education (Q1)","Social Sciences","00346543","Review of Educational Research","0034-6543","1935-1046","""The Review of Educational Research (RER, bimonthly, begun in 1931) publishes critical, integrative reviews of research literature bearing on education. Such reviews should include conceptualizations, interpretations, and syntheses of literature and scholarly work in a field broadly relevant to education and educational research. RER encourages the submission of research relevant to education from any discipline, such as reviews of research in psychology, sociology, history, philosophy, political science, economics, computer science, statistics, anthropology, and biology, provided that the review bears on educational issues. RER does not publish original empirical research unless it is incorporated in a broader integrative review. RER will occasionally publish solicited, but carefully refereed, analytic reviews of special topics, particularly from disciplines infrequently represented.""","SAGE","American Education Research Association (AERA)","https://journals.sagepub.com/author-instructions/RER",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0
"6033","00363375","2023",10483,11700154610,"Salamandra","journal","00363375",0.515,"Q2",22,30,125,1498,174,91,1.33,49.93,"Germany","Western Europe","Deutsche Gesellschaft fur Herpetologie, Und Terrarienkunde","2008-2023","Animal Science and Zoology (Q2); Ecology, Evolution, Behavior and Systematics (Q2)","Agricultural and Biological Sciences","00363375","Salamandra","0036-3375","","","","","https://www.salamandra-journal.com/index.php/home/instructions-for-authors",0,"Journal guidelines outline citation of unpublished data but not all data set citation.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0
"6057","00368326","2023",2162,23626,"Science Education","journal","00368326, 1098237X",1.543,"Q1",135,57,155,5024,753,151,4.01,88.14,"United States","Northern America","Wiley-Liss Inc.","1930-2023","Education (Q1); History and Philosophy of Science (Q1)","Arts and Humanities; Social Sciences","00368326","Science Education","0036-8326","1098-237X","""Science education has long grappled with navigating between the work of professional scientists and the needs of students enrolled in science classes. Every era of science education reform has struggled with these tensions. However, current turmoil associated with anti-Black racism, global warming, and the COVID pandemic forces us to consider anew how science education research tends to overlook the importance of better preparing communities and society to respond to societal and environmental challenges.""","Wiley","","https://onlinelibrary.wiley.com/page/journal/1098237x/homepage/forauthors.html",0,"No mention",1,"""Science Education expects data sharing.""",0,"No mention.",0,"No mention.",1,"""Accurate and complete reporting enables readers to fully appraise research, replicate it, and use it. Authors are encouraged to adhere to recognized research reporting standards. The EQUATOR Network collects more than 370 reporting guidelines for many study types,""",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",2
"6084","0037198X","2023",20026,17896,"Seminars in Roentgenology","journal","0037198X, 15584658",0.199,"Q4",31,49,127,2188,69,105,0.66,44.65,"United States","Northern America","W.B. Saunders","1966-2023","Radiology, Nuclear Medicine and Imaging (Q4)","Medicine","0037198X","Seminars in Roentgenology","0037-198X","1558-4658","""Seminars in Roentgenology is designed primarily for the practicing radiologist and for the resident. Each quarterly issue compiled by a leading guest editor covers a single topic of current importance. The clinical, pathological, and roentgenologic aspects are emphasized, while research and techniques are discussed insofar as they provide documentation and clarification of the subject under discussion.""","Elsevier","","https://www.elsevier.com/journals/seminars-in-roentgenology/0037-198X/guide-for-authors",1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List."" Followed by example.",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",1
"6111","00377686","2023",12047,17507,"Social Compass","journal","00377686, 14617404",0.441,"Q1",37,40,112,2061,160,108,1.04,51.53,"United Kingdom","Western Europe","SAGE Publications Ltd","1953-1957, 1959-1960, 1962, 1965, 1967, 1969-1970, 1972-1974, 1985-2023","Anthropology (Q1); Religious Studies (Q1); Sociology and Political Science (Q2)","Arts and Humanities; Social Sciences","00377686","Social Compass","0037-7686","","""Social Compass is a fully peer reviewed international journal that publishes original research and review articles on the sociology of religion. It aims to reflect the wide variety of research being carried out by sociologists of religion in all countries. Part of each issue consists of invited articles on a particular theme; for the unthemed part of the journal, articles will be considered on any topic that bears upon religion in contemporary societies. Issue 2 each year contains selected papers from the biennial conferences of the International Society for the Sociology of Religion (ISSR). Readers are also invited to contribute to the Forum section.""","","","https://journals.sagepub.com/author-instructions/SCP",NA,"",0,"""Data sharing is not applicable to this journal as the subject matter covered by the aims & scope does not necessitate the need for the use of empirical data, software, or code. As such, no datasets, software or code may be generated or analyzed by the articles published in the journal.""",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0
"6139","00380385","2023",2964,18130,"Sociology","journal","00380385, 14698684",1.275,"Q1",131,110,197,5828,836,196,3.6,52.98,"United Kingdom","Western Europe","SAGE Publications Ltd","1967-2023","Sociology and Political Science (Q1)","Social Sciences","00380385","Sociology","0038-0385","1469-8684","""Sociology, an official journal of the British Sociological Association, is acknowledged as one of the leading journals in its field. For more than five decades, the journal has made a major contribution to the debates that have shaped the discipline and has an undisputed international reputation for publishing original research of the highest academic standard. The scope of Sociology is wide ranging - both geographically and substantively - and it includes shorter notes, comments, reviews of recent developments and book reviews as well as core theoretical and empirical research papers. It also publishes occasional special issues principally devoted to particular themes.""","SAGE","","https://journals.sagepub.com/author-instructions/SOC",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0
"6141","00380407","2023",1325,13358,"Sociology of Education","journal","00380407, 19398573",2.041,"Q1",113,22,55,1730,276,53,4.17,78.64,"United States","Northern America","SAGE Publications Inc.","1980, 1983, 1992, 1996-2023","Education (Q1); Sociology and Political Science (Q1)","Social Sciences","00380407","Sociology of Education","0038-0407","1939-8573","""Sociology of Education (SOE), published quarterly, provides a forum for studies in the sociology of education and human social development. SOE publishes research that examines how social institutions and individuals' experiences within these institutions affect educational processes and social development.""","SAGE","","https://journals.sagepub.com/author-instructions/SOE",0,"No mention.",0,"This journal encourages, but does not require, data sharing. No mentions of data availability statements are made.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0
"6175","00380717","2023",513,14802,"Soil Biology and Biochemistry","journal","00380717",3.453,"Q1",266,256,921,18891,9993,916,10.47,73.79,"United Kingdom","Western Europe","Elsevier Ltd","1933, 1969-2023","Microbiology (Q1); Soil Science (Q1)","Agricultural and Biological Sciences; Immunology and Microbiology","00380717","Soil Biology and Biochemistry","0038-0717","1879-3428","""Soil Biology & Biochemistry publishes original, scientifically challenging research articles of international significance that describe and explain biological processes occurring in soil. These include the possible applications of such knowledge to issues of soil and environmental quality - insofar as such studies inform our understanding of the role of soil biology and biochemistry in mediating soil functions, agricultural sustainability and ecosystem services. ""","Elsevier","","https://www.elsevier.com/journals/soil-biology-and-biochemistry/0038-0717/guide-for-authors",1,"""his journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. "" provides rules and examples.",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",1
"6203","00383910","2023",11761,19676,"Southern California Law Review","journal","00383910",0.454,"Q1",40,5,80,930,38,80,0.45,186,"United States","Northern America","University of Southern California","1973-1979, 1981-1982, 1985-1988, 1991-1992, 1996-2023","Law (Q1)","Social Sciences","00383910","Southern California Law Review","0038-3910","","""Established in 1927, the Southern California Law Review is an independent and autonomous entity. Each year the Law Review publishes one volume, which is produced in six separate issues. Each issue normally contains several articles written by outside contributors and several notes written by students from the University of Southern California Gould School of Law. The Law Review strives to publish articles on a wide range of topics and to serve all segments of the legal community. In addition, the Law Review frequently hosts a forum in order to explore timely or controversial areas of law.""","","","https://southerncalifornialawreview.com/submissions/",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0
"6230","00389765","2023",1213,19751,"Stanford Law Review","journal","00389765",2.137,"Q1",80,25,72,1804,149,60,1.94,72.16,"United States","Northern America","Stanford Law School","1974-1976, 1978-1979, 1987-1994, 1996-2023","Law (Q1); Medicine (miscellaneous) (Q1)","Medicine; Social Sciences","00389765","Stanford Law Review","0038-9765","1939-8581","","","","https://www.stanfordlawreview.org/submissions/",0,"No mention.",2,"""At a minimum, empirical works must document and archive all datasets so that third parties may replicate the published findings.""",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",2
"6240","00393320","2023",13660,15302,"Studia Psychologica","journal","00393320",0.375,"Q3",23,24,75,1176,109,75,1.13,49,"Slovakia","Eastern Europe","Institute of Experimental Psychology, Centre of Social and Psychological Sciences, Slovak Academy of Sciences","1996-2023","Psychology (miscellaneous) (Q3)","Psychology","00393320","Studia Psychologica","0039-3320","2585-8815","""This is an open-access journal which means that all content is freely available without charge to the users or their institution. Users are allowed to read, download, copy, distribute, print, search, or link to the full texts of the articles, or use them for any other lawful purpose, without asking prior permission from the publisher or the author. ""","","","https://www.studiapsychologica.com/",0,"No mention.",1,"""Please, include in the text information about the data availability (either in supplementary materials or link to other online repositories).'",0,"No mention.",0,"""We strongly encourage the submission of raw data (with a key to the meaning of variable names, if needed) and stimulus materials at the time of the initial submission and will often request these if they are not already submitted.""",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",1
"6277","00398322","2023",1496,4000150501,"TESOL Quarterly","journal","00398322",1.888,"Q1",122,112,178,5739,923,171,4.44,51.24,"United States","Northern America","Wiley-Blackwell","1981-2023","Education (Q1); Linguistics and Language (Q1)","Social Sciences","00398322","TESOL Quarterly","0039-8322","1545-7249","""TESOL Quarterly, a professional, refereed journal, was first published in 1967. The Quarterly encourages submission of previously unpublished articles on topics of signicance to individuals concerned with English language teaching and learning and standard English as a second dialect. As a publication that represents a variety of cross-disciplinary interests, both theoretical and practical, the Quarterly invites manuscripts on a wide range of topics""","Wiley","","https://onlinelibrary.wiley.com/page/journal/15457249/homepage/forauthors.html",0,"No mention.",0,"This journal encourages data sharing, but does not require it.",0,"No mention.",0,"This journal encourages sharing of research materials, but does not require it.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0
"6309","00400912","2023",6685,144960,"Education and Training","journal","00400912",0.761,"Q1",85,66,205,4276,994,201,4.78,64.79,"United Kingdom","Western Europe","Emerald Group Publishing Ltd.","1959-2023","Business, Management and Accounting (miscellaneous) (Q1); Education (Q1); Life-span and Life-course Studies (Q2)","Business, Management and Accounting; Social Sciences","00400912","Education + Training","0040-0912","1758-6127","""Education + Training addresses the increasingly complex relationships between education, training and employment and the impact of these relationships on national and global labour markets. The journal gives specific consideration to young people, looking at how the transition from school/college to employment is achieved and how the nature of partnerships between the worlds of education and work continues to evolve.""","Emerald","","https://www.emeraldgrouppublishing.com/journal/et?distinct_id=1751e291b5229a-0bfb049a0007d7-3e63694b-13c680-1751e291b536f5&_ga=2.117840393.1434106211.1602528812-618709093.1602528812#author-guidelines",1,"We are a signatory of the Transparency and Openness Promotion (TOP) Guidelines, a framework that supports the reproducibility of research through the adoption of transparent research practices. That means we encourage you to:

Cite and fully reference all data, program code, and other methods in your article.
Include persistent identifiers, such as a Digital Object Identifier (DOI), in references for datasets and program codes. Persistent identifiers ensure future access to unique published digital objects, such as a piece of text or datasets. Persistent identifiers are assigned to datasets by digital archives, such as institutional repositories and partners in the Data Preservation Alliance for the Social Sciences (Data-PASS).
Follow appropriate international and national procedures with respect to data protection, rights to privacy and other ethical considerations, whenever you cite data. For further guidance please refer to our research and publishing ethics guidelines. For an example on how to cite datasets, please refer to the references section below.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",1
"6319","00401625","2023",618,14704,"Technological Forecasting and Social Change","journal","00401625",3.118,"Q1",179,704,1964,64897,31548,1937,15.54,92.18,"United States","Northern America","Elsevier Inc.","1970-2023","Applied Psychology (Q1); Business and International Management (Q1); Management of Technology and Innovation (Q1)","Business, Management and Accounting; Psychology","00401625","Technological Forecasting and Social Change","0040-1625","1873-5509","""A major forum for those wishing to deal directly with the methodology and practice of technological forecasting and future studies as planning tools as they interrelate social, environmental and technological factors.""","Elsevier","","https://www.elsevier.com/journals/technological-forecasting-and-social-change/0040-1625/guide-for-authors",1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them
in your text and including a data reference in your Reference List. Data references should include the
following elements: author name(s), dataset title, data repository, version (where available), year,
and global persistent identifier. """,0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models,
algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.'",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",1
"6358","00404411","2023",17969,20436,"Texas Law Review","journal","00404411",0.241,"Q2",54,45,97,1844,82,91,1.08,40.98,"United States","Northern America","University of Texas at Austin","1977, 1981-1982, 1987, 1990, 1992, 1994, 1996-2023","Law (Q2)","Social Sciences","00404411","Texas Law Review","0040-4411","1942-857X","","","","https://texaslawreview.org/submissions/",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0
"6382","00415650","2023",3308,21058,"UCLA Law Review","journal","00415650",1.198,"Q1",52,12,57,3460,88,57,1.49,288.33,"United States","Northern America","University of California, Berkeley","1968, 1976, 1978, 1980-1983, 1986, 1989, 1991-2023","Law (Q1)","Social Sciences","00415650","UCLA Law Review","0041-5650","1943-1724","""Founded in December 1953, the UCLA Law Review publishes six times per year by students of the UCLA School of Law and the Regents of the University of California. We also publish material solely for online consumption and dialogue in Discourse, and we produce podcasts in Dialectic.""","","","https://www.uclalawreview.org/submissions/",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0
"6393","00419494","2023",13250,21629,"University of Chicago Law Review","journal","00419494",0.39,"Q1",66,14,104,3017,113,104,1.04,215.5,"United States","Northern America","University of Chicago Law School","1977-1978, 1986, 1991-1992, 1995-2023","Law (Q1)","Social Sciences","00419494","University of Chicago Law Review","0041-9494","","","","","https://lawreview.uchicago.edu/submissions",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0
"6437","00420859","2023",2568,14723,"Urban Education","journal","00420859, 15528340",1.384,"Q1",72,134,247,9644,737,247,2.28,71.97,"United States","Northern America","SAGE Publications Inc.","1965-2023","Education (Q1); Urban Studies (Q1)","Social Sciences","00420859","Urban Education","0042-0859","1552-8340","""Get hard-hitting, focused analyses of critical concerns facing inner-city schools in Urban Education (UEX). This ground-breaking publication provides thought-provoking commentary on key issues from gender-balanced and racially diverse perspectives.""","SAGE","","https://journals.sagepub.com/author-instructions/UEX",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0
"6450","00420980","2023",1629,29684,"Urban Studies","journal","00420980, 1360063X",1.806,"Q1",174,226,547,14628,3365,540,5.47,64.73,"United Kingdom","Western Europe","SAGE Publications Ltd","1964-2023","Environmental Science (miscellaneous) (Q1); Urban Studies (Q1)","Environmental Science; Social Sciences","00420980","Urban Studies","0042-0980","1360-063X","""Urban Studies is the leading international journal for urban scholarship. Since its inception in 1964, the journal has remained at the forefront of intellectual and policy debates on the city, and has hosted ground-breaking contributions from across the full range of social science disciplines. The Editors aim to maintain and extend the role of Urban Studies as the journal of choice for those working on the cutting edge of academic research about cities. We welcome all original submissions that further our understanding of the urban condition and the rapid changes taking place in cities and regions across the globe, whether from an empirical, theoretical, or a policy perspective.""","SAGE","","https://us.sagepub.com/en-us/nam/journal/urban-studies#submission-guidelines",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0,"No mention.",0
"6473","00421138","2023",11218,20548,"Urologia Internationalis","journal","00421138, 14230399",0.48,"Q2",64,129,487,3326,808,466,1.66,25.78,"Switzerland","Western Europe","S. Karger AG","1955-2023","Urology (Q2)","Medicine","00421138","Urologia Internationalis","0042-1138","1423-0399","""Concise but fully substantiated international reports of clinically oriented research into the science and current management of urogenital disorders form the nucleus of original as well as basic research papers. These are supplemented by up-to-date reviews by international experts on the state of the art of key topics of clinical urological practice. Essential topics receiving regular coverage include the introduction of new techniques and instrumentation as well as the evaluation of new functional tests and diagnostic methods. Special attention is given to advances in new surgical techniques and clinical oncology. The regular publication of selected case reports represents the great variation in urological disease and illustrates treatment solutions in singular cases.""","Karger","","https://karger.com/uin/pages/guidelines",1,"""Other pre-published or related materials with a DOI, e.g. preprint manuscripts, datasets, and code, may be included.""",1,"""Other pre-published or related materials with a DOI, e.g. preprint manuscripts, datasets, and code, may be included.""",0,"No mention",0,"No mention",1,"""Authors are asked to follow the EQUATOR Network for Research Articles.""",0,"No mention",0,"No mention",0,"No mention",0,"No mention",0,"No mention",3
